id,title,subtitle,authors,language,genre,published_date,page_count
910,Faith,,Len Deighton,en,Fiction | Spy Thriller | Espionage | Thriller | Thriller | Spy Thriller | Historical | Historical Fiction | Novels | War | Cultural | Germany | Thriller | Mystery Thriller | European Literature | British Literature,1995,352.0
911,Runaway Heart,,Saranne Dawson,en,,1998,248.0
912,The Main Corpse,,Diane Mott Davidson,en,Mystery | Fiction | Mystery | Cozy Mystery | Thriller | Mystery Thriller | Food and Drink | Culinary | Food and Drink | Cooking | Food and Drink | Food | Audiobook | Womens Fiction | Chick Lit | Humor,1997,350.0
913,Aspen Gold,,Janet Dailey,en,Romance | Fiction | Romance | Contemporary Romance | Adult | Contemporary | Adult Fiction,1992,416.0
914,Brother's Keeper,,James DeFelice | Jim DeFelice,en,,2000,390.0
915,The Bookman's Wake,,John Dunning,en,Mystery | Fiction | Writing | Books About Books | Thriller | Mystery Thriller | Mystery | Crime | Mystery | Detective | Adult | Adult Fiction | Thriller | Audiobook,1996,448.0
916,The Gargoyle,,Andrew Davidson,en,Fiction | Fantasy | Historical | Historical Fiction | Romance | Historical | Contemporary | Gothic | Adult | Magical Realism | Fantasy | Paranormal,2009,468.0
917,The Journals of Eleanor Druse,My Investigation of the Kingdom Hospital Incident,Eleanor Druse,en,Horror | Fiction | Mystery | Fantasy | Fantasy | Supernatural | Paranormal | Ghosts | Fantasy | Paranormal | Diary | Media Tie In | Suspense,2004,249.0
918,Dancing at the Rascal Fair,,Ivan Doig,en,Fiction | Historical | Historical Fiction | Westerns | Literature | Historical | Audiobook | Literary Fiction | Novels | Classics | Adult Fiction,1996,405.0
919,The Persian Pickle Club,,Sandra Dallas,en,Fiction | Historical | Historical Fiction | Mystery | Womens Fiction | Chick Lit | Book Club | Adult Fiction | Historical | Adult | Crafts | Quilting | Novels,1996,196.0
920,Shadows in Bronze,,Lindsey Davis,en,Historical | Historical Fiction | Mystery | Historical | Fiction | Mystery | Crime | Mystery | Historical Mystery | Mystery | Detective | Roman | Thriller | Mystery Thriller | Humor,1991,403.0
921,Tangled Vines,,Janet Dailey,en,Romance | Fiction | Romance | Contemporary Romance | Mystery | Adult | Adult Fiction,1993,588.0
922,Pious Deception,,Susan Dunlap,en,Mystery,1990,243.0
923,Catch the Wind,,Frances Donnelly,en,,1996,571.0
924,The Mirror of Her Dreams,,Stephen R. Donaldson,en,Fantasy | Fiction | Science Fiction Fantasy | Romance | Science Fiction | Fantasy | High Fantasy | Fantasy | Epic Fantasy | Fantasy | Magic | Adventure | Speculative Fiction,1987,627.0
925,Davey Swag,,David Grimstone,en,,2008,339.0
926,The Businessman,A Tale of Terror,Thomas M. Disch,en,Horror | Fantasy | Fiction | Fantasy | Supernatural | Paranormal | Ghosts | Science Fiction | Humor | The United States Of America | Speculative Fiction | Mystery,1993,350.0
927,The Gargoyle,,Andrew Davidson,en,Fiction | Fantasy | Historical | Historical Fiction | Romance | Historical | Contemporary | Gothic | Adult | Magical Realism | Fantasy | Paranormal,2009,468.0
928,Bridge of No Return,,Mike Dunn,en,,1996,351.0
929,The Silent World of Nicholas Quinn,,Colin Dexter,en,Mystery | Mystery | Crime | Fiction | Mystery | Detective | European Literature | British Literature | Thriller | Mystery Thriller | Mystery | Murder Mystery | Audiobook | Novels | Thriller,1978,205.0
930,Scoundrel for Hire,,Adrienne Dewolfe,en,Romance | Historical Romance | Romance | Historical | Historical Fiction | Historical | Fiction | Romance | Western Romance | Westerns,1999,384.0
931,The Killing Jar,,David Docherty,en,,2002,390.0
932,Baggage,My Childhood,Janet Street-Porter,en,Biography | Nonfiction,2005,278.0
933,Lost Lady,,Jude Deveraux,en,Romance | Romance | Historical Romance | Historical | Fiction | Historical | Historical Fiction | European Literature | British Literature | Adult | Womens Fiction | Chick Lit | Adult Fiction | Adult Fiction | Erotica,1991,352.0
934,Commitments,,Barbara Delinsky,en,Romance | Fiction | Contemporary | Womens Fiction | Chick Lit | Romance | Contemporary Romance | New York | Mystery | Drama | Romance | Romantic Suspense | Womens Fiction,1995,437.0
935,Flint,,Paul Eddy,en,Thriller | Fiction | Mystery | Mystery | Crime | Thriller | Mystery Thriller,2001,534.0
936,An Inconvenient Woman,,Dominick Dunne,en,,1991,468.0
937,The General's Daughter,,Nelson DeMille,en,Fiction | Mystery | Thriller | Suspense | Mystery | Crime | Thriller | Mystery Thriller | War | Military Fiction | Drama | Mystery | Detective | Novels,2001,505.0
938,The Lion's Game,,Nelson DeMille,en,Fiction | Thriller | Mystery | Suspense | Thriller | Mystery Thriller | Mystery | Crime | Action | War | Terrorism | Audiobook | Adventure,2000,944.0
939,The Panther,,Nelson DeMille,en,Fiction | Thriller | Mystery | Suspense | Thriller | Mystery Thriller | Audiobook | Action | Mystery | Crime | Spy Thriller | Espionage | Adventure,2012,786.0
940,Night Fall,,Nelson DeMille,en,Fiction | Thriller | Mystery | Suspense | Thriller | Mystery Thriller | Mystery | Crime | Action | Audiobook | Mystery | Detective | Adult Fiction,2005,704.0
941,A Watery Grave,,Joan Druett,en,Mystery | Historical | Historical Fiction | Historical | Adventure | Fiction | Thriller | Mystery Thriller | Mystery | Historical Mystery | Mystery | Crime,2005,304.0
942,Service of all the dead,,Colin Dexter,en,Mystery | Mystery | Crime | Fiction | Mystery | Detective | European Literature | British Literature | Thriller | Mystery Thriller | Mystery | Murder Mystery | Audiobook | Novels | Thriller,2011,
943,Show of Evil,,William Diehl,en,Fiction | Thriller | Mystery | Mystery | Crime | Suspense | Thriller | Mystery Thriller | Horror | Thriller | Legal Thriller | Literature | American | Novels,1996,402.0
944,The Takeover,,Stephen Frey,en,Fiction | Thriller | Mystery | Mystery | Crime | Suspense | Business | Thriller | Mystery Thriller | Thriller | Legal Thriller,1996,389.0
945,Present Danger,,Stella Rimington,en,Fiction | Thriller | Spy Thriller | Espionage | Mystery | Mystery | Crime | Thriller | Mystery Thriller | Audiobook | Cultural | Ireland | European Literature | British Literature | Thriller | Spy Thriller,2009,326.0
946,Dead of Night,,Brendan DuBois,en,Thriller | Fiction | Science Fiction,2007,388.0
947,A Long Finish,,Michael Dibdin,en,Mystery | Mystery | Crime | Fiction | Cultural | Italy | Mystery | Detective | European Literature | Italian Literature | Thriller | Mystery Thriller | Thriller | Buddhism | Zen | Food and Drink | Food,1998,362.0
948,"City of gold, and",Mamista,Len Deighton,en,,1998,360.0
949,The Wench is Dead,,Colin Dexter,en,Mystery | Mystery | Crime | Fiction | Mystery | Detective | European Literature | British Literature | Thriller | Mystery Thriller | Mystery | Murder Mystery | Thriller | Historical | Historical Fiction | Novels,1989,200.0
950,The Wench is Dead,An Inspector Morse Mystery,Colin Dexter,en,Mystery | Mystery | Crime | Fiction | Mystery | Detective | European Literature | British Literature | Thriller | Mystery Thriller | Mystery | Murder Mystery | Thriller | Historical | Historical Fiction | Novels,1990,256.0
951,Master and God,,Lindsey Davis,en,Historical | Historical Fiction | Fiction | Historical | Romance | Cultural | Italy | Mystery | Roman | Mystery | Historical Mystery | Literature | Ancient | Audiobook,2013,464.0
952,Elizabeth and Mary,"Cousins, Rivals, Queens",Jane Dunn,en,History | Nonfiction | Biography | English History | Tudor Period | Historical | European Literature | British Literature | Cultural | Scotland | Biography Memoir | History | European History | Womens,2004,538.0
953,Mrs Cook,The real and imagined life of the Captain's wife,Marele Day,en,Historical | Historical Fiction,2003,368.0
954,The Graft,,Martina Cole,en,Mystery | Crime | Fiction | Thriller | Mystery | Literature,2005,679.0
955,Mourning Ruby,,Helen Dunmore,en,Fiction | Contemporary | Novels | Adult | Adult Fiction | Historical,2004,320.0
956,Getting Out of the House,,Isla Dewar,en,Fiction | Womens Fiction | Chick Lit,2006,407.0
957,The Grave Tattoo,,Val McDermid,en,Mystery | Mystery | Crime | Fiction | Thriller | Thriller | Mystery Thriller | Audiobook | European Literature | British Literature | Suspense | Historical | Historical | Historical Fiction,2007,546.0
958,Die Orchideensammlerin,Roman ; [ein Krimi aus der Dordogne],Michelle Wan,de,Mystery | Fiction | Cultural | France | Thriller | Mystery Thriller | Novels | Thriller,2006,345.0
959,Der Schwarm,Roman,Frank Schätzing,de,Science Fiction | Thriller | Fiction | European Literature | German Literature | Horror | Fantasy | Mystery | Roman | Novels | Contemporary,2005,987.0
960,Träume vom Kanal,Roman,Iain Banks,de,Fiction | Thriller | Contemporary | Modern | Mystery | Crime | Literature | Novels | Banking | Banks | Cultural | Scotland | Mystery,1997,286.0
961,Uns verbrennt die Nacht,ein Roman mit Jim Morrison,Craig Kee Strete,de,Fiction | Music,1986,250.0
962,Die Tore der Welt,Roman,Ken Follett,de,Historical | Historical Fiction | Fiction | Historical | Historical | Medieval | Audiobook | European Literature | British Literature | Novels | Romance | Fantasy | Adult,2010,1310.0
963,Mehr Bier,ein Kayankaya-Roman,Jakob Arjouni,de,Mystery | Fiction | European Literature | German Literature | Cultural | Germany | Mystery | Crime | Mystery | Noir | Mystery | Detective | Mystery | Hard Boiled,1987,170.0
964,Seegrund,Kluftingers dritter Fall,Volker Klüpfel | Michael Kobr,de,Mystery | Crime | European Literature | German Literature | Humor | Fiction | Cultural | Germany | Thriller | Mystery | Audiobook,2008,340.0
965,The Navigator,,Clive Cussler | Paul Kemprecos,en,Fiction | Adventure | Thriller | Action | Mystery | Suspense | Thriller | Mystery Thriller | Audiobook | Historical | Historical Fiction | Adult Fiction,2008,552.0
966,Paddle to the Amazon,"The Ultimate 12,000-Mile Canoe Adventure",Don Starkell,en,Nonfiction | Travel | Adventure | Biography | Cultural | Canada | Adventure | Survival | Nature | Outdoors | Biography Memoir | Environment | Nature | Autobiography | Memoir,1994,336.0
967,Die Falle,,Melanie Raabe,de,Thriller | Mystery | Fiction | Mystery | Crime | Thriller | Mystery Thriller | Suspense | European Literature | German Literature | Audiobook | Thriller | Psychological Thriller | Cultural | Germany,2016,352.0
968,The Puzzled Heart,,Amanda Cross,en,Mystery | Fiction | Mystery | Crime,1999,242.0
969,"Völker dieser Welt, relaxt!",Roman,Tom Robbins,de,Fiction | Humor | Novels | Literature | Contemporary | Humor | Comedy | Modern | Literature | American | Magical Realism | Literary Fiction,2003,633.0
970,Koblenzer Schängel jagt Hunsrücker Bengel,,Heinz-Peter Baecker,de,,2000,234.0
971,Evidence of Blood,,Thomas H. Cook,en,Mystery | Fiction | Thriller | Thriller | Mystery Thriller | Mystery | Crime,2001,388.0
972,The Daughter,,Jasmine Cresswell,en,Romance | Romantic Suspense | Romance | Suspense | Mystery | Thriller | Mystery Thriller | Thriller | Mystery | Murder Mystery | Fiction,1998,401.0
973,Out of the Dark,,Natasha Cooper,en,Mystery | Mystery | Crime,2002,306.0
974,A House Divided,,Catherine Cookson,en,Historical | Historical Fiction | Romance | Fiction | Novels | Adult Fiction | Family | European Literature | British Literature | Womens Fiction | Classics,2000,477.0
975,The Syndrome,,John Case,en,Thriller | Fiction | Suspense | Mystery | Thriller | Mystery Thriller | Adventure | Science Fiction | Adult,2002,512.0
976,Polo,A Legend of Fair Women and Brave Men,Jilly Cooper,en,Fiction | Womens Fiction | Chick Lit | Romance | Contemporary | Humor | Animals | Horses | European Literature | British Literature | Modern | Adult | Adult Fiction,1992,765.0
977,Entführung am Fischmarkt,,Irene Stratenwerth,de,,2009,208.0
978,Bright Star,,Harold Coyle,en,Fiction | War | Military Fiction | War | Thriller | Action | Historical | Historical Fiction | Adventure | War | Terrorism,1991,496.0
979,First Contact,,Nigel Robinson,en,,1994,314.0
980,Sharpe's Company,"Richard Sharpe and the Siege of Badajoz, January to April 1812",Bernard Cornwell,en,Historical | Historical Fiction | Fiction | Historical | War | Adventure | War | Military Fiction | Action | European Literature | British Literature | Cultural | Spain | Audiobook,1982,342.0
981,Sharpe's Gold,"Richard Sharpe and the Destruction of Almeida, August 1810",Bernard Cornwell,en,Historical | Historical Fiction | Fiction | Historical | War | Adventure | War | Military Fiction | Action | Audiobook | Novels | European Literature | British Literature,1995,256.0
982,Sharpe's Company,"Richard Sharpe and the Siege of Badajoz, January to April 1812",Bernard Cornwell,en,Historical | Historical Fiction | Fiction | Historical | War | Adventure | War | Military Fiction | Action | European Literature | British Literature | Cultural | Spain | Audiobook,1994,280.0
983,Sharpe's Siege,"Richard Sharpe and the Winter Campaign, 1814",Bernard Cornwell,en,Historical | Historical Fiction | Fiction | Historical | War | Adventure | War | Military Fiction | Action | Audiobook | Cultural | France | Literature | 19th Century,1988,319.0
984,Sharpe's Honour,"Richard Sharpe and the Vitoria Campaign, February to June 1813",Bernard Cornwell,en,Historical | Historical Fiction | Fiction | Historical | War | Adventure | War | Military Fiction | Action | Audiobook | European Literature | British Literature | Military | Military History,1994,320.0
985,Sharpe's Revenge,Richard Sharpe and the Peace of 1814,Bernard Cornwell,en,Historical | Historical Fiction | Fiction | Historical | Adventure | War | War | Military Fiction | Action | Literature | 19th Century | Audiobook | Cultural | France,1997,352.0
986,Sleepers,,Lorenzo Carcaterra,en,Fiction | Mystery | Crime | Crime | True Crime | Thriller | Mystery | Thriller | Mystery Thriller | Sociology | Abuse | Drama | Media Tie In | New York,1996,370.0
987,All that Remains,,Patricia Daniels Cornwell,en,Mystery | Mystery | Crime | Fiction | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Adult | Audiobook,2005,404.0
988,Warrior's Song,,Catherine Coulter,en,Romance | Romance | Historical Romance | Historical | Historical | Medieval | Historical | Historical Fiction | Fiction | Historical Romance | Medieval Romance | Adult | Audiobook | Romance | M F Romance,2001,374.0
989,Point of Origin,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Adult | Adult Fiction,1999,440.0
990,Book of the Dead,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Audiobook | Adult | Adult Fiction,2008,511.0
991,The Front,,Patricia Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Suspense | Thriller | Mystery Thriller | Audiobook | Mystery | Detective | Novels | Emergency Services | Police,2008,229.0
992,From Potter's Field,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Adult | Audiobook,1996,422.0
993,Cruel and Unusual,,Patricia Daniels Cornwell,en,Mystery | Mystery | Crime | Fiction | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Adult | Audiobook,1994,437.0
994,At Risk,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Suspense | Thriller | Mystery Thriller | Mystery | Murder Mystery | Contemporary | Adult Fiction | Mystery | Detective,2007,289.0
995,All That Remains,,Patricia Cornwell,en,Mystery | Mystery | Crime | Fiction | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Adult | Audiobook,1993,406.0
996,The Last Precinct,,Patricia Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Audiobook | Medical,2001,565.0
997,Och så log han-,,Nicci French,sv,,2006,304.0
998,Een liefdeswals,,Patricia Knoll | Karen Rose Smith | Petra van der Hulst,nl,,2000,318.0
999,Accordeonmisdaden,,Edna Annie Proulx | Regina Willemse,nl,Fiction | Historical | Historical Fiction | Short Stories | Literary Fiction | Music | Literature | The United States Of America | Novels | Literature | American | Historical,2000,511.0
1000,Als een wervelstorm,Opwindende uitdaging ; Rode pepers en romantiek,Lorna Michaels | Robin Neefs,nl,,2005,478.0
1001,The Last Precinct,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Audiobook | Medical,2000,124.0
1002,Point of Origin,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Adult | Adult Fiction,1998,397.0
1003,Unnatural Exposure,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Medical | Audiobook,1997,367.0
1004,Point of Origin,,Patricia Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Adult | Adult Fiction,2000,440.0
1005,Blow Fly,,,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Audiobook | Medical,2004,467.0
1006,Southern Cross,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Detective | Mystery | Murder Mystery | Adult Fiction | Adult,1999,382.0
1007,Black Notice,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Audiobook | Adult,2000,466.0
1008,Unnatural Exposure,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Medical | Audiobook,2000,370.0
1009,All that Remains,,Patricia Cornwell,en,Mystery | Mystery | Crime | Fiction | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Murder Mystery | Mystery | Detective | Adult | Audiobook,1993,438.0
1010,Piranha,,Clive Cussler | Boyd Morrison,en,Fiction | Adventure | Thriller | Action | Mystery | Audiobook | Suspense | Science Fiction | Thriller | Mystery Thriller | Novels,2016,448.0
1011,Medusa,,Clive Cussler | Clive | Paul Kemprecos,en,Adventure | Fiction | Thriller | Action | Mystery | Suspense | Audiobook | Spy Thriller | Espionage | Adult Fiction | Science Fiction,2010,518.0
1012,A Time for Us,,Josephine Cox,en,Romance | Fiction,1997,457.0
1013,The Journey,,Josephine Cox,en,,2007,435.0
1014,Looking Back,,Josephine Cox,en,Fiction,2001,448.0
1015,Southern Cross,,Patricia Daniels Cornwell,en,Mystery | Fiction | Mystery | Crime | Thriller | Thriller | Mystery Thriller | Suspense | Mystery | Detective | Mystery | Murder Mystery | Adult Fiction | Adult,1999,455.0
1016,Rainbow Days,,Josephine Cox,en,Fiction | Romance,2000,435.0
1017,A Time for Us,,Josephine Cox,en,Romance | Fiction,1997,480.0
1018,Live the Dream,,Josephine Cox,en,Romance | Fiction | Womens Fiction | Chick Lit,2008,528.0
1019,物語の森へ,全・中短篇ベストセレクション,五木寬之,ja,,1996,542.0
1020,身体の臨界点,,石井達朗,ja,,2006,236.0
1021,Look Away,,Harold Coyle,en,Historical | Historical Fiction | Military History | Civil War | Fiction | War | War | Military Fiction | American History | American Civil War | North American Hi... | American History | Historical,1997,592.0
1022,The Journey,,Josephine Cox,en,Fiction | Romance | Historical | Historical | Historical Fiction | Family | Womens Fiction | Chick Lit,2005,448.0
1023,The Beachcomber,,Josephine Cox,en,Fiction | Romance | Womens Fiction | Chick Lit | Contemporary | Historical | European Literature | British Literature | Historical | Historical Fiction | Audiobook,2003,600.0
1024,Lovers and Liars,,Josephine Cox,en,Romance | Fiction | Audiobook | Historical | Romance | Historical Romance,2004,500.0
1025,Stephen Coonts' Deep Black: Conspiracy,,Stephen Coonts | Jim DeFelice,en,Fiction | Thriller | War | Military Fiction | Adventure | Spy Thriller | Espionage | Action,2008,480.0
1026,The Intruders,,Stephen Coonts,en,Fiction | Thriller | War | Military Fiction | Adventure | Action | War | Aviation | Historical | Historical Fiction | Spy Thriller | Espionage | Military | Military History,2003,409.0
1027,Cuba,,Stephen Coonts,en,Fiction | Thriller | War | Military Fiction | Adventure | Spy Thriller | Espionage | War | Suspense | Action | Mystery | Adult,2000,469.0
1028,The Branded Man,,Catherine Cookson,en,Historical | Historical Fiction | Fiction | Romance | Romance | Historical Romance | Literature | 19th Century | Novels,1997,476.0
1029,Wages of Sin,Titel Der US-Ausgabe: Liars & Thieves,Stephen Coonts,en,Fiction | Thriller | Action | Spy Thriller | Espionage | Mystery | Adventure | War | Military Fiction | Suspense | Thriller | Spy Thriller | Thriller | Mystery Thriller,2005,360.0
1030,Im Jahr des roten Drachen,ein Roman aus Tibet,Fredrick R. Hyde-Chambers,de,,1990,509.0
1031,Jetlag,Roman,Christine Wunnicke,de,,2002,251.0
1032,Shades of Grey,Roman,E. L. James,de,Romance | Fiction | Adult Fiction | Erotica | Adult | Erotica | BDSM | Contemporary | Womens Fiction | Chick Lit | Romance | Contemporary Romance | Romance | Erotic Romance | Adult Fiction,2012,
1033,Geheimes Verlangen,,E. L. James,de,Romance | Fiction | Adult Fiction | Erotica | Adult | Erotica | BDSM | Contemporary | Womens Fiction | Chick Lit | Romance | Contemporary Romance | Romance | Erotic Romance | Adult Fiction,2012,601.0
1034,The Road of the Dead,Roman,Kevin Brooks,de,Young Adult | Mystery | Fiction | Horror | Contemporary | Young Adult | Teen | Fantasy | Thriller | Thriller | Mystery Thriller | Mystery | Crime,2008,349.0
1035,Liberty,A Jake Grafton Novel,Stephen Coonts,en,Fiction | Thriller | War | Military Fiction | Adventure | Action | Spy Thriller | Espionage | War | War | Terrorism | Audiobook | Mystery | Crime,2004,544.0
1036,Fortunes of War,,Stephen Coonts,en,Fiction | Thriller | War | Military Fiction | Adventure | War | Action | Military | Military History | Novels | Suspense,1999,494.0
1037,The Blind Years,,Catherine Cookson,en,Fiction | Historical | Historical Fiction | Romance | Historical | Novels,2000,264.0
1038,America,,Stephen Coonts,en,Fiction | Thriller | War | Military Fiction | Adventure | Action | Spy Thriller | Espionage | Mystery | Thriller | Spy Thriller | War | Terrorism | Suspense,2002,432.0
1039,Pure as the Lily,,Catherine Cookson,en,Historical | Historical Fiction | Fiction | Romance | European Literature | British Literature | Historical | Novels,1993,379.0
1040,Code of Honour,,Harold Coyle,en,Fiction | War | Military Fiction | War | Thriller | Historical | Historical Fiction | Action,1995,515.0
1041,The Thursday Friend,,Catherine Cookson,en,Fiction | Romance | Historical | Historical Fiction | Novels | Historical,2000,380.0
1042,Harold,,Catherine Cookson,en,Fiction | Romance,1986,263.0
1043,Impulse (Om),,Catherine Coulter,en,Romance | Suspense | Mystery | Romance | Romantic Suspense | Contemporary | Fiction | Thriller | Thriller | Mystery Thriller | Adult | Romance | Contemporary Romance,2001,419.0
1044,The Wingless Bird,,Catherine Cookson,en,Historical | Historical Fiction | Fiction | Romance | Historical | War | World War I | Novels | Media Tie In | Romance | Historical Romance,1991,507.0
1045,The Silent Lady,,Catherine Cookson,en,Fiction | Historical | Historical Fiction | Mystery | Romance | Historical | Novels | European Literature | British Literature | Womens Fiction | Chick Lit,2002,447.0
1046,The Gillyvors,,Catherine Cookson,en,Fiction | Historical | Historical Fiction | Romance | Historical | Historical | Victorian | Novels,1991,426.0
1047,Aftershocks,,Catherine Coulter,en,Romance | Contemporary | Romance | Contemporary Romance | Fiction | Mystery | Category Romance | Harlequin | Romance | Historical Romance | Romantic | Adult | Modern,1998,249.0
1048,The Golden Straw,,Catherine Cookson,en,Fiction | Historical | Historical Fiction | Romance | Historical | Cultural | France | European Literature | British Literature | Romance | Historical Romance | Novels,1994,607.0
1049,Riley,,Catherine Cookson,en,Fiction | Romance | Historical | Historical Fiction | Novels,1999,570.0
1050,Lugarno,A Cliff Hardy Novel,Peter Corris,en,Mystery | Crime | Cultural | Australia,2001,216.0
1051,Sideshow,"Kissinger, Nixon and the Destruction of Cambodia",William Shawcross,en,History | Nonfiction | Politics | North American Hi... | American History | Cultural | Asia | War | War | Military Fiction | United States | Biography,1991,524.0
1052,Destinations - a Compelling Collection of Engaging Short Stories Following,,Sheila Oflanagan,en,Womens Fiction | Chick Lit | Short Stories | Fiction | Cultural | Ireland | Contemporary | Romance | Drama,2006,
1053,Destinations,,Sheila O'Flanagan,en,Womens Fiction | Chick Lit | Short Stories | Fiction | Cultural | Ireland | Contemporary | Romance | Drama,2006,341.0
1054,In Secret Sin,,Rose Doyle,en,,2000,246.0
1055,War Fever,,J. G. Ballard,en,Fiction | Short Stories | Science Fiction | Anthologies | Collections | Literature | Literature | 20th Century | European Literature | British Literature | Science Fiction | Dystopia,1991,176.0
1056,Im Sturm,Roman,Tom Clancy | Hardo Wichmann,de,Fiction | Thriller | War | Military Fiction | War | Action | Spy Thriller | Espionage | Suspense | Adventure | Mystery | Historical | Historical Fiction,1996,734.0
1057,Inside IS - 10 Tage im 'Islamischen Staat',"Meine 10 Tage im ,Islamischen Staat'",Jürgen Todenhöfer,de,Nonfiction | History | Religion | War | European Literature | German Literature | Politics | Religion | Islam | Travel | Culture | Society | Biography,2015,288.0
1058,The Curse of the Bronze Lamp,,John Dickson Carr,en,Mystery | Mystery | Crime | Mystery | Detective | Fiction,1997,192.0
1059,Destiny,,Paul B. Thompson | Tonya C. Cook,en,Dungeons and Dragons | Dragonlance | Fantasy | Fiction | Role Playing Games | Dungeons and Dragons | Fantasy | High Fantasy,2007,309.0
1060,The X-Files Film Novel,,Chris Carter,en,Science Fiction | Fiction | Fantasy | Paranormal | Novels | Mystery | Thriller | Horror | Audiobook | European Literature | German Literature | Media Tie In | Tv,1998,224.0
1061,Sword and Sorceress XVI,,Marion Zimmer Bradley,en,Fantasy | Short Stories | Anthologies | Science Fiction Fantasy | Fiction | Heroic Fantasy | Sword and Sorcery,1999,306.0
1062,Gramercy Park,,Paula Cohen,en,Historical | Historical Fiction | Fiction | Mystery | Romance | New York | Literature | 19th Century | Historical | Womens Fiction | Chick Lit,2002,357.0
1063,An Infinity of Mirrors,,Richard Condon,en,Historical | Historical Fiction | Fiction | War | World War II,1982,291.0
1064,Care Factor Zero,,Margaret Clark,en,Young Adult | Teen,1997,206.0
1065,First Strike,,Diane Carey,en,Media Tie In | Star Trek | Science Fiction | Fiction | Media Tie In | Star Trek | Star Trek Original Series | Fantasy | Science Fiction Fantasy | Novels | Space | Anthologies | Collections,1996,289.0
1066,The Old Spanish Trail,,Ralph Compton,en,Westerns,1998,292.0
1067,Freedom Square,,Kerry B. Collison,en,Novels,1999,568.0
1068,Jakarta,,Kerry B. Collison,en,Novels,1999,535.0
1069,The Thin Woman,An Epicurean Mystery,Dorothy Cannell,en,Mystery | Fiction | Mystery | Cozy Mystery | Romance | Humor | Thriller | Mystery Thriller | Womens Fiction | Chick Lit | European Literature | British Literature | Contemporary | Novels,1992,273.0
1070,"Loves Music, Loves to Dance",,Mary Higgins Clark,en,Mystery | Fiction | Suspense | Thriller | Thriller | Mystery Thriller | Mystery | Crime | Adult | Romance | Adult Fiction | Contemporary,1992,304.0
1071,While My Pretty One Sleeps,,Mary Higgins Clark,en,Mystery | Fiction | Suspense | Thriller | Thriller | Mystery Thriller | Mystery | Crime | Adult | Romance | Adult Fiction | Mystery | Murder Mystery,1990,336.0
1072,All Around the Town,,Mary Higgins Clark,en,Mystery | Fiction | Suspense | Thriller | Thriller | Mystery Thriller | Mystery | Crime | Adult | Adult Fiction | Romance | Novels,1993,341.0
1073,Mother of Plenty,,Colin Greenland,en,Science Fiction | Fiction,1998,480.0
1074,Dream Country,,Luanne Rice,en,Fiction | Romance | Womens Fiction | Chick Lit | Romance | Contemporary Romance | Adult Fiction | Family | Contemporary | Roman | Drama | Womens Fiction,2002,504.0
1075,The Mysterious Rider,,Zane Grey,en,Westerns | Fiction | Historical | Historical Fiction | Romance | Classics | Adventure | Historical | Adult,2003,367.0
1076,No Place Like Home,,Mary Higgins Clark,en,Mystery | Fiction | Suspense | Thriller | Thriller | Mystery Thriller | Mystery | Crime | Adult | Audiobook | Romance | Adult Fiction,2006,472.0
